image_name,width,height,patch_score
birds3_p64_t1.0_n20_001,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0.5,1.5,2.5,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0"
griffith_observatory_p64_t1.0_n20_055,1280,720,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
jumping_p64_t0.3_n0_003,1080,1920,"0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.0,1.0,0,0.5,2.0,0.5,1.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0"
concert3_p64_t0.3_n0_005,720,1280,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
stanford_oval_p64_t1.0_n20_041,1080,1920,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
stanford_oval_p64_t1.0_n20_072,1080,1920,"0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
stanford_oval_p64_t1.0_n20_019,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,1.5,0,0,0,0,0.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
stanford_oval_p64_t0.5_n10_072,1080,1920,"0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
stanford_oval_p64_t0.5_n10_041,1080,1920,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
stanford_oval_p64_t0.5_n10_019,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,0,0,0,1.5,0,0,0,0,2.0,0,0,0,2.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0"
stone_bridge_p64_t0.3_n0_006,720,1280,"0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
stone_bridge_p64_t0.3_n0_028,720,1280,"0,0,0,0,0,0,0,0,1.0,0.5,0,0,0.5,1.0,1.0,0,0,0,0,0,0,0,0,0"
stone_bridge_p64_t0.3_n0_037,720,1280,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
stone_bridge_p64_t0.5_n10_006,720,1280,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
stone_bridge_p64_t0.5_n10_028,720,1280,"0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0"
stone_bridge_p64_t0.5_n10_037,720,1280,"0,0,1.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
stone_bridge_p64_t1.0_n20_006,720,1280,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
stone_bridge_p64_t1.0_n20_028,720,1280,"0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0"
stone_bridge_p64_t1.0_n20_037,720,1280,"0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
birds2_p64_t0.3_n0_031,720,1280,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
birds2_p64_t0.3_n0_035,720,1280,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0"
birds2_p64_t0.3_n0_040,720,1280,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0"
birds2_p64_t0.5_n10_031,720,1280,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0"
ski1_p64_t0.5_n10_025,1920,1080,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.0,0,1.5,0,0,0,0.5,1,2.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1.5,0"
ski1_p64_t1.0_n20_007,1920,1080,"0,0,0,0,0,0,0.5,0,0,0.5,0,1,0.5,0,0,0.5,0,1.5,1.5,3.0,1.0,2.0,1.0,0,0,0.5,0,0,3.0,3.5,3.5,0.5,1.5,2.0,1.0,1.0,0,0,4.0,2.5,2.5,1.5,0,1.5,2.0"
ski1_p64_t1.0_n20_018,1920,1080,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.0,0,1.5,0,1.0,0,0,0,1.0,0,1.0,2.0,0.5,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.5"
ski1_p64_t1.0_n20_025,1920,1080,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,1.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ski2_p64_t0.3_n0_003,1080,1920,"0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,3.0,3.0,3,0,0,2.5,2.0,0.5,1.0,1.0,4.0,2.5,0,0.5,1.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ski2_p64_t0.3_n0_036,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1.0,1.5,2.0,0.5,0,0,2.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ski2_p64_t0.3_n0_069,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2.5,0,2.0,0,1.0,1.0,1.0,0.5,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ski2_p64_t0.5_n10_003,1080,1920,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.5,2.0,0,0,2.0,2.0,0.5,0.5,1.0,3.0,2.5,0.5,0.5,2.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ski2_p64_t0.5_n10_036,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.5,1.5,1.0,0,0,2.5,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
live_octopus_p64_t0.5_n10_003,960,720,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
live_octopus_p64_t0.5_n10_019,960,720,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
turning_page_p64_t0.5_n10_020,1080,1920,"0,0,0,0,0,0,0,0,0,0,2.0,0.5,0,0,0,0.5,1.0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
